,key,year,state,Asian,Black,Hispanic,Native,Other,White
126,2017MO,2017,MO,0,13,1,0,0,17
127,2017MS,2017,MS,0,7,1,0,0,9
128,2017MT,2017,MT,0,0,0,3,0,3
129,2017NC,2017,NC,0,9,2,0,0,11
130,2017ND,2017,ND,0,0,0,3,0,0
131,2017NE,2017,NE,0,0,0,0,0,0
132,2017NH,2017,NH,0,0,0,0,0,2
133,2017NJ,2017,NJ,0,5,3,0,0,2
134,2017NM,2017,NM,0,0,14,0,0,4
135,2017NV,2017,NV,0,2,5,1,0,7
136,2017NY,2017,NY,0,8,3,0,0,4
137,2017OH,2017,OH,0,11,0,0,0,23
138,2017OK,2017,OK,2,3,2,3,0,14
139,2017OR,2017,OR,0,2,2,0,0,7
140,2017PA,2017,PA,0,6,1,0,0,13
141,2017RI,2017,RI,0,0,0,0,0,1
142,2017SC,2017,SC,0,2,2,0,0,8
143,2017SD,2017,SD,1,0,0,0,0,2
144,2017TN,2017,TN,0,4,0,0,0,20
145,2017TX,2017,TX,1,17,21,0,0,21
146,2017UT,2017,UT,0,1,4,0,0,2
147,2017VA,2017,VA,1,6,2,0,0,13
148,2017VT,2017,VT,0,0,0,0,0,1
149,2017WA,2017,WA,2,7,4,2,1,14
150,2017WI,2017,WI,1,5,0,3,0,15
151,2017WV,2017,WV,0,1,0,0,0,8
152,2017WY,2017,WY,0,0,0,0,0,1
153,2018AK,2018,AK,1,1,0,2,0,3
154,2018AL,2018,AL,0,3,0,0,0,9
155,2018AR,2018,AR,0,8,0,0,0,13
156,2018AZ,2018,AZ,0,5,17,2,0,25
157,2018CA,2018,CA,4,18,46,0,0,28
158,2018CO,2018,CO,2,1,9,1,0,23
159,2018CT,2018,CT,0,0,0,0,0,1
160,2018DC,2018,DC,0,1,0,0,0,0
161,2018DE,2018,DE,0,0,0,0,0,0
162,2018FL,2018,FL,0,20,8,0,0,34
163,2018GA,2018,GA,1,22,1,0,0,15
164,2018HI,2018,HI,4,0,1,0,4,1
165,2018IA,2018,IA,0,1,0,0,0,8
166,2018ID,2018,ID,0,1,0,1,0,10
167,2018IL,2018,IL,0,10,2,0,0,7
168,2018IN,2018,IN,0,5,1,0,0,12
169,2018KS,2018,KS,0,2,2,0,0,2
170,2018KY,2018,KY,1,2,1,1,0,14
171,2018LA,2018,LA,0,4,0,0,0,10
172,2018MA,2018,MA,0,0,0,0,0,3
173,2018MD,2018,MD,0,8,2,0,0,2
174,2018ME,2018,ME,0,0,0,0,0,2
175,2018MI,2018,MI,1,5,0,0,0,11
176,2018MN,2018,MN,0,2,1,2,0,7
177,2018MO,2018,MO,1,7,0,0,0,12
178,2018MS,2018,MS,0,5,0,0,0,4
179,2018MT,2018,MT,0,0,0,1,0,4
180,2018NC,2018,NC,0,7,3,0,0,15
181,2018ND,2018,ND,0,0,0,0,0,4
182,2018NE,2018,NE,0,1,0,0,0,0
183,2018NH,2018,NH,0,0,0,0,0,2
184,2018NJ,2018,NJ,0,6,1,0,0,5
185,2018NM,2018,NM,0,1,14,0,0,4
186,2018NV,2018,NV,2,3,7,0,0,7
187,2018NY,2018,NY,0,6,3,0,0,5
188,2018OH,2018,OH,0,8,1,0,0,20
189,2018OK,2018,OK,1,5,1,2,0,23
190,2018OR,2018,OR,0,2,1,0,0,13
191,2018PA,2018,PA,0,9,4,0,0,8
192,2018RI,2018,RI,0,1,0,0,0,0
193,2018SC,2018,SC,1,3,0,0,0,8
194,2018SD,2018,SD,0,0,0,0,0,1
195,2018TN,2018,TN,0,10,1,0,0,14
196,2018TX,2018,TX,1,16,30,0,0,23
197,2018UT,2018,UT,0,3,4,2,0,9
198,2018VA,2018,VA,0,12,0,0,0,6
199,2018VT,2018,VT,0,0,0,0,0,2
200,2018WA,2018,WA,1,0,3,0,0,12
201,2018WI,2018,WI,0,3,0,1,0,6
202,2018WV,2018,WV,0,2,0,0,0,4
203,2018WY,2018,WY,0,0,1,0,0,3
204,2019AK,2019,AK,0,1,0,1,0,4
205,2019AL,2019,AL,0,7,0,0,0,4
206,2019AR,2019,AR,0,8,0,0,0,9
207,2019AZ,2019,AZ,0,3,17,2,0,9
208,2019CA,2019,CA,7,24,45,2,0,33
209,2019CO,2019,CO,0,5,12,0,0,15
210,2019CT,2019,CT,0,1,2,0,0,1
211,2019DC,2019,DC,0,1,0,0,0,0
212,2019DE,2019,DE,0,0,0,0,0,0
213,2019FL,2019,FL,0,16,16,0,2,23
214,2019GA,2019,GA,2,9,2,0,0,16
215,2019HI,2019,HI,2,0,0,0,4,1
216,2019IA,2019,IA,0,1,0,0,0,4
217,2019ID,2019,ID,0,0,1,0,0,5
218,2019IL,2019,IL,0,8,1,0,0,1
219,2019IN,2019,IN,0,3,0,0,0,11
220,2019KS,2019,KS,0,1,0,0,0,8
221,2019KY,2019,KY,0,4,0,0,0,8
222,2019LA,2019,LA,0,17,0,0,0,2
223,2019MA,2019,MA,0,1,1,0,1,0
224,2019MD,2019,MD,0,10,1,0,0,7
225,2019ME,2019,ME,0,0,1,0,0,2
226,2019MI,2019,MI,0,3,1,0,0,7
227,2019MN,2019,MN,1,2,1,1,1,4
228,2019MO,2019,MO,0,11,1,0,0,12
229,2019MS,2019,MS,1,5,0,0,0,10
230,2019MT,2019,MT,0,0,0,0,0,6
231,2019NC,2019,NC,0,11,2,0,0,18
232,2019ND,2019,ND,0,0,0,0,0,0
233,2019NE,2019,NE,0,1,2,1,0,2
234,2019NH,2019,NH,0,0,0,0,0,2
235,2019NJ,2019,NJ,0,6,1,0,0,3
236,2019NM,2019,NM,0,0,8,1,0,3
237,2019NV,2019,NV,0,2,4,0,0,3
238,2019NY,2019,NY,0,11,1,0,0,6
239,2019OH,2019,OH,0,9,0,0,1,13
240,2019OK,2019,OK,0,10,1,2,0,19
241,2019OR,2019,OR,0,1,2,0,0,13
242,2019PA,2019,PA,0,6,0,0,0,6
243,2019RI,2019,RI,0,0,0,0,0,0
244,2019SC,2019,SC,0,5,0,0,0,9
245,2019SD,2019,SD,0,0,0,1,0,2
246,2019TN,2019,TN,0,9,0,0,0,20
247,2019TX,2019,TX,2,21,26,0,0,38
248,2019UT,2019,UT,0,2,3,0,0,6
249,2019VA,2019,VA,0,2,0,0,0,7
250,2019VT,2019,VT,0,0,0,0,0,2
251,2019WA,2019,WA,2,8,8,1,0,11
252,2019WI,2019,WI,1,3,3,0,0,10
253,2019WV,2019,WV,1,2,0,0,0,9
254,2019WY,2019,WY,0,0,0,1,0,0
