,key,year,state,recorded,unrecorded
186,2018NV,2018,NV,7,12
187,2018NY,2018,NY,4,10
188,2018OH,2018,OH,3,26
189,2018OK,2018,OK,3,29
190,2018OR,2018,OR,1,15
191,2018PA,2018,PA,0,21
192,2018RI,2018,RI,0,1
193,2018SC,2018,SC,3,9
194,2018SD,2018,SD,0,1
195,2018TN,2018,TN,2,23
196,2018TX,2018,TX,6,64
197,2018UT,2018,UT,4,14
198,2018VA,2018,VA,2,16
199,2018VT,2018,VT,0,2
200,2018WA,2018,WA,1,15
201,2018WI,2018,WI,3,7
202,2018WV,2018,WV,2,4
203,2018WY,2018,WY,0,4
204,2019AK,2019,AK,0,6
205,2019AL,2019,AL,0,11
206,2019AR,2019,AR,2,15
207,2019AZ,2019,AZ,4,27
208,2019CA,2019,CA,24,87
209,2019CO,2019,CO,4,28
210,2019CT,2019,CT,1,3
211,2019DC,2019,DC,0,1
212,2019DE,2019,DE,0,0
213,2019FL,2019,FL,4,53
214,2019GA,2019,GA,6,23
215,2019HI,2019,HI,1,6
216,2019IA,2019,IA,0,5
217,2019ID,2019,ID,1,5
218,2019IL,2019,IL,1,9
219,2019IN,2019,IN,2,12
220,2019KS,2019,KS,0,9
221,2019KY,2019,KY,0,12
222,2019LA,2019,LA,2,17
223,2019MA,2019,MA,1,2
224,2019MD,2019,MD,5,13
225,2019ME,2019,ME,0,3
226,2019MI,2019,MI,0,11
227,2019MN,2019,MN,6,4
228,2019MO,2019,MO,0,24
229,2019MS,2019,MS,2,14
230,2019MT,2019,MT,0,6
231,2019NC,2019,NC,3,28
232,2019ND,2019,ND,0,0
233,2019NE,2019,NE,1,5
234,2019NH,2019,NH,0,2
235,2019NJ,2019,NJ,0,10
236,2019NM,2019,NM,1,11
237,2019NV,2019,NV,4,5
238,2019NY,2019,NY,5,13
239,2019OH,2019,OH,3,20
240,2019OK,2019,OK,10,22
241,2019OR,2019,OR,1,15
242,2019PA,2019,PA,0,12
243,2019RI,2019,RI,0,0
244,2019SC,2019,SC,2,12
245,2019SD,2019,SD,0,3
246,2019TN,2019,TN,2,27
247,2019TX,2019,TX,11,76
248,2019UT,2019,UT,5,6
249,2019VA,2019,VA,1,8
250,2019VT,2019,VT,0,2
251,2019WA,2019,WA,4,26
252,2019WI,2019,WI,1,16
253,2019WV,2019,WV,1,11
254,2019WY,2019,WY,0,1
