,key,year,state,total_case,unarmed_case
186,2018NV,2018,NV,19,0
187,2018NY,2018,NY,14,0
188,2018OH,2018,OH,29,3
189,2018OK,2018,OK,32,4
190,2018OR,2018,OR,16,1
191,2018PA,2018,PA,21,3
192,2018RI,2018,RI,1,0
193,2018SC,2018,SC,12,0
194,2018SD,2018,SD,1,0
195,2018TN,2018,TN,25,0
196,2018TX,2018,TX,70,7
197,2018UT,2018,UT,18,1
198,2018VA,2018,VA,18,3
199,2018VT,2018,VT,2,0
200,2018WA,2018,WA,16,1
201,2018WI,2018,WI,10,0
202,2018WV,2018,WV,6,0
203,2018WY,2018,WY,4,1
204,2019AK,2019,AK,6,0
205,2019AL,2019,AL,11,0
206,2019AR,2019,AR,17,1
207,2019AZ,2019,AZ,31,3
208,2019CA,2019,CA,111,9
209,2019CO,2019,CO,32,2
210,2019CT,2019,CT,4,1
211,2019DC,2019,DC,1,0
212,2019DE,2019,DE,0,0
213,2019FL,2019,FL,57,0
214,2019GA,2019,GA,29,3
215,2019HI,2019,HI,7,2
216,2019IA,2019,IA,5,0
217,2019ID,2019,ID,6,0
218,2019IL,2019,IL,10,0
219,2019IN,2019,IN,14,0
220,2019KS,2019,KS,9,0
221,2019KY,2019,KY,12,0
222,2019LA,2019,LA,19,3
223,2019MA,2019,MA,3,0
224,2019MD,2019,MD,18,1
225,2019ME,2019,ME,3,0
226,2019MI,2019,MI,11,2
227,2019MN,2019,MN,10,1
228,2019MO,2019,MO,24,2
229,2019MS,2019,MS,16,0
230,2019MT,2019,MT,6,0
231,2019NC,2019,NC,31,1
232,2019ND,2019,ND,0,0
233,2019NE,2019,NE,6,0
234,2019NH,2019,NH,2,0
235,2019NJ,2019,NJ,10,1
236,2019NM,2019,NM,12,0
237,2019NV,2019,NV,9,1
238,2019NY,2019,NY,18,1
239,2019OH,2019,OH,23,1
240,2019OK,2019,OK,32,2
241,2019OR,2019,OR,16,1
242,2019PA,2019,PA,12,0
243,2019RI,2019,RI,0,0
244,2019SC,2019,SC,14,0
245,2019SD,2019,SD,3,0
246,2019TN,2019,TN,29,1
247,2019TX,2019,TX,87,10
248,2019UT,2019,UT,11,1
249,2019VA,2019,VA,9,0
250,2019VT,2019,VT,2,0
251,2019WA,2019,WA,30,3
252,2019WI,2019,WI,17,1
253,2019WV,2019,WV,12,1
254,2019WY,2019,WY,1,0
