,key,year,state_abbr,state,ethnicity,percentage
120,2015MD,2015,MD,Maryland,Black,0.25
121,2015MD,2015,MD,Maryland,White,0.0
122,2015MD,2015,MD,Maryland,Asian,N/A
123,2015MD,2015,MD,Maryland,Hispanic,N/A
124,2015MD,2015,MD,Maryland,Native,N/A
125,2015MD,2015,MD,Maryland,Other,N/A
126,2015ME,2015,ME,Maine,Black,N/A
127,2015ME,2015,ME,Maine,White,0.0
128,2015ME,2015,ME,Maine,Asian,N/A
129,2015ME,2015,ME,Maine,Hispanic,N/A
130,2015ME,2015,ME,Maine,Native,N/A
131,2015ME,2015,ME,Maine,Other,N/A
132,2015MI,2015,MI,Michigan,Black,0.16666666666666666
133,2015MI,2015,MI,Michigan,White,0.1
134,2015MI,2015,MI,Michigan,Asian,N/A
135,2015MI,2015,MI,Michigan,Hispanic,N/A
136,2015MI,2015,MI,Michigan,Native,N/A
137,2015MI,2015,MI,Michigan,Other,N/A
138,2015MN,2015,MN,Minnesota,Black,0.3333333333333333
139,2015MN,2015,MN,Minnesota,White,0.25
140,2015MN,2015,MN,Minnesota,Asian,N/A
141,2015MN,2015,MN,Minnesota,Hispanic,N/A
142,2015MN,2015,MN,Minnesota,Native,N/A
143,2015MN,2015,MN,Minnesota,Other,0.0
144,2015MO,2015,MO,Missouri,Black,0.125
145,2015MO,2015,MO,Missouri,White,0.07692307692307693
146,2015MO,2015,MO,Missouri,Asian,N/A
147,2015MO,2015,MO,Missouri,Hispanic,N/A
148,2015MO,2015,MO,Missouri,Native,N/A
149,2015MO,2015,MO,Missouri,Other,N/A
150,2015MS,2015,MS,Mississippi,Black,0.0
151,2015MS,2015,MS,Mississippi,White,0.14285714285714285
152,2015MS,2015,MS,Mississippi,Asian,N/A
153,2015MS,2015,MS,Mississippi,Hispanic,N/A
154,2015MS,2015,MS,Mississippi,Native,N/A
155,2015MS,2015,MS,Mississippi,Other,N/A
156,2015MT,2015,MT,Montana,Black,N/A
157,2015MT,2015,MT,Montana,White,0.0
158,2015MT,2015,MT,Montana,Asian,N/A
159,2015MT,2015,MT,Montana,Hispanic,N/A
160,2015MT,2015,MT,Montana,Native,N/A
161,2015MT,2015,MT,Montana,Other,N/A
162,2015NC,2015,NC,North Carolina,Black,0.0
163,2015NC,2015,NC,North Carolina,White,0.0
164,2015NC,2015,NC,North Carolina,Asian,N/A
165,2015NC,2015,NC,North Carolina,Hispanic,N/A
166,2015NC,2015,NC,North Carolina,Native,N/A
167,2015NC,2015,NC,North Carolina,Other,N/A
168,2015ND,2015,ND,North Dakota,Black,N/A
169,2015ND,2015,ND,North Dakota,White,N/A
170,2015ND,2015,ND,North Dakota,Asian,N/A
171,2015ND,2015,ND,North Dakota,Hispanic,N/A
172,2015ND,2015,ND,North Dakota,Native,0.0
