,key,year,state,Asian_proportion,Black_proportion,Hispanic_proportion,Native_proportion,Other_proportion,White_proportion
79,2016ND,2016,ND,N/A,N/A,N/A,N/A,N/A,1.0
80,2016NE,2016,NE,N/A,0.0,N/A,N/A,N/A,0.2
81,2016NH,2016,NH,N/A,N/A,N/A,N/A,N/A,0.0
82,2016NJ,2016,NJ,0.0,0.0,N/A,N/A,N/A,0.0
83,2016NM,2016,NM,N/A,N/A,0.0,0.0,N/A,0.0
84,2016NV,2016,NV,N/A,0.0,0.14285714285714285,N/A,N/A,0.0
85,2016NY,2016,NY,N/A,0.0,0.0,N/A,N/A,0.0
86,2016OH,2016,OH,0.0,0.0,N/A,N/A,0.0,0.0
87,2016OK,2016,OK,N/A,0.25,0.0,N/A,N/A,0.13333333333333333
88,2016OR,2016,OR,N/A,0.0,N/A,N/A,N/A,0.07692307692307693
89,2016PA,2016,PA,N/A,0.1,N/A,N/A,N/A,0.1111111111111111
90,2016RI,2016,RI,N/A,0.0,0.0,N/A,N/A,N/A
91,2016SC,2016,SC,N/A,0.0,N/A,N/A,N/A,0.0
92,2016SD,2016,SD,N/A,N/A,N/A,0.0,N/A,0.3333333333333333
93,2016TN,2016,TN,0.0,0.0,0.0,N/A,N/A,0.0625
94,2016TX,2016,TX,N/A,0.23529411764705882,0.05,0.0,0.0,0.05405405405405406
95,2016UT,2016,UT,N/A,N/A,N/A,N/A,N/A,0.0
96,2016VA,2016,VA,N/A,0.125,0.0,N/A,N/A,0.0
97,2016VT,2016,VT,N/A,N/A,N/A,1.0,N/A,0.0
98,2016WA,2016,WA,0.0,0.0,0.0,0.0,N/A,0.0
99,2016WI,2016,WI,N/A,0.2,N/A,N/A,N/A,0.0
100,2016WV,2016,WV,N/A,0.0,N/A,N/A,N/A,0.0
101,2016WY,2016,WY,N/A,N/A,0.0,N/A,N/A,0.0
102,2017AK,2017,AK,N/A,0.0,N/A,0.0,N/A,0.2
103,2017AL,2017,AL,N/A,0.16666666666666666,0.0,N/A,N/A,0.07142857142857142
104,2017AR,2017,AR,0.0,0.0,N/A,N/A,N/A,0.0
105,2017AZ,2017,AZ,N/A,0.2,0.0,N/A,N/A,0.05263157894736842
106,2017CA,2017,CA,0.0,0.09090909090909091,0.11594202898550725,0.0,0.0,0.022222222222222223
107,2017CO,2017,CO,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142
108,2017CT,2017,CT,N/A,0.0,0.0,N/A,N/A,0.0
109,2017DC,2017,DC,N/A,0.0,N/A,N/A,N/A,0.0
110,2017DE,2017,DE,N/A,0.0,N/A,N/A,N/A,0.0
111,2017FL,2017,FL,N/A,0.2222222222222222,0.14285714285714285,N/A,N/A,0.03225806451612903
112,2017GA,2017,GA,N/A,0.2222222222222222,1.0,N/A,N/A,0.0625
113,2017HI,2017,HI,0.0,N/A,N/A,N/A,0.0,0.0
114,2017IA,2017,IA,N/A,0.0,N/A,N/A,N/A,0.0
115,2017ID,2017,ID,N/A,N/A,0.0,N/A,N/A,0.0
116,2017IL,2017,IL,N/A,0.1,0.0,N/A,N/A,0.16666666666666666
117,2017IN,2017,IN,N/A,0.14285714285714285,0.0,N/A,N/A,0.0
118,2017KS,2017,KS,N/A,0.0,0.0,0.0,N/A,0.16666666666666666
119,2017KY,2017,KY,N/A,0.0,N/A,N/A,N/A,0.0625
120,2017LA,2017,LA,0.0,0.2727272727272727,0.0,N/A,N/A,0.0
121,2017MA,2017,MA,N/A,N/A,0.0,N/A,N/A,0.0
122,2017MD,2017,MD,N/A,0.0,N/A,N/A,N/A,0.2
123,2017ME,2017,ME,N/A,0.0,N/A,N/A,N/A,0.125
124,2017MI,2017,MI,N/A,0.2,N/A,N/A,1.0,0.14285714285714285
125,2017MN,2017,MN,0.0,0.0,N/A,0.0,N/A,0.16666666666666666
126,2017MO,2017,MO,N/A,0.0,0.0,N/A,N/A,0.17647058823529413
127,2017MS,2017,MS,N/A,0.14285714285714285,0.0,N/A,N/A,0.1111111111111111
128,2017MT,2017,MT,N/A,N/A,N/A,0.0,N/A,0.0
129,2017NC,2017,NC,N/A,0.0,0.0,N/A,N/A,0.0
130,2017ND,2017,ND,N/A,N/A,N/A,0.0,N/A,N/A
131,2017NE,2017,NE,N/A,N/A,N/A,N/A,N/A,N/A
132,2017NH,2017,NH,N/A,N/A,N/A,N/A,N/A,0.0
133,2017NJ,2017,NJ,N/A,0.0,0.0,N/A,N/A,0.5
134,2017NM,2017,NM,N/A,N/A,0.14285714285714285,N/A,N/A,0.25
135,2017NV,2017,NV,N/A,0.0,0.0,0.0,N/A,0.0
136,2017NY,2017,NY,N/A,0.0,0.0,N/A,N/A,0.0
137,2017OH,2017,OH,N/A,0.0,N/A,N/A,N/A,0.17391304347826086
138,2017OK,2017,OK,0.5,0.0,0.0,0.0,N/A,0.0
139,2017OR,2017,OR,N/A,0.0,0.0,N/A,N/A,0.14285714285714285
140,2017PA,2017,PA,N/A,0.16666666666666666,0.0,N/A,N/A,0.07692307692307693
141,2017RI,2017,RI,N/A,N/A,N/A,N/A,N/A,0.0
142,2017SC,2017,SC,N/A,0.0,0.0,N/A,N/A,0.125
143,2017SD,2017,SD,0.0,N/A,N/A,N/A,N/A,0.0
144,2017TN,2017,TN,N/A,0.25,N/A,N/A,N/A,0.0
145,2017TX,2017,TX,0.0,0.11764705882352941,0.0,N/A,N/A,0.14285714285714285
146,2017UT,2017,UT,N/A,0.0,0.0,N/A,N/A,0.0
147,2017VA,2017,VA,0.0,0.0,0.0,N/A,N/A,0.07692307692307693
148,2017VT,2017,VT,N/A,N/A,N/A,N/A,N/A,0.0
149,2017WA,2017,WA,0.0,0.0,0.0,0.0,0.0,0.0
150,2017WI,2017,WI,0.0,0.2,N/A,0.3333333333333333,N/A,0.0
151,2017WV,2017,WV,N/A,0.0,N/A,N/A,N/A,0.0
152,2017WY,2017,WY,N/A,N/A,N/A,N/A,N/A,0.0
153,2018AK,2018,AK,0.0,0.0,N/A,0.0,N/A,0.3333333333333333
154,2018AL,2018,AL,N/A,0.0,N/A,N/A,N/A,0.0
155,2018AR,2018,AR,N/A,0.0,N/A,N/A,N/A,0.0
156,2018AZ,2018,AZ,N/A,0.2,0.0,0.0,N/A,0.12
157,2018CA,2018,CA,0.0,0.1111111111111111,0.021739130434782608,N/A,N/A,0.0
158,2018CO,2018,CO,0.5,0.0,0.0,0.0,N/A,0.043478260869565216
159,2018CT,2018,CT,N/A,N/A,N/A,N/A,N/A,0.0
160,2018DC,2018,DC,N/A,0.0,N/A,N/A,N/A,N/A
161,2018DE,2018,DE,N/A,N/A,N/A,N/A,N/A,N/A
162,2018FL,2018,FL,N/A,0.15,0.125,N/A,N/A,0.11764705882352941
163,2018GA,2018,GA,0.0,0.09090909090909091,0.0,N/A,N/A,0.0
164,2018HI,2018,HI,0.0,N/A,0.0,N/A,0.0,0.0
165,2018IA,2018,IA,N/A,0.0,N/A,N/A,N/A,0.0
166,2018ID,2018,ID,N/A,1.0,N/A,0.0,N/A,0.0
167,2018IL,2018,IL,N/A,0.0,0.0,N/A,N/A,0.14285714285714285
168,2018IN,2018,IN,N/A,0.0,0.0,N/A,N/A,0.0
169,2018KS,2018,KS,N/A,0.0,0.0,N/A,N/A,0.0
170,2018KY,2018,KY,0.0,0.0,0.0,0.0,N/A,0.0
171,2018LA,2018,LA,N/A,0.25,N/A,N/A,N/A,0.1
172,2018MA,2018,MA,N/A,N/A,N/A,N/A,N/A,0.3333333333333333
173,2018MD,2018,MD,N/A,0.125,0.0,N/A,N/A,0.0
174,2018ME,2018,ME,N/A,N/A,N/A,N/A,N/A,0.0
175,2018MI,2018,MI,0.0,0.0,N/A,N/A,N/A,0.09090909090909091
176,2018MN,2018,MN,N/A,0.0,0.0,0.0,N/A,0.0
177,2018MO,2018,MO,0.0,0.0,N/A,N/A,N/A,0.0
178,2018MS,2018,MS,N/A,0.0,N/A,N/A,N/A,0.25
179,2018MT,2018,MT,N/A,N/A,N/A,0.0,N/A,0.0
180,2018NC,2018,NC,N/A,0.0,0.0,N/A,N/A,0.0
181,2018ND,2018,ND,N/A,N/A,N/A,N/A,N/A,0.25
182,2018NE,2018,NE,N/A,0.0,N/A,N/A,N/A,N/A
183,2018NH,2018,NH,N/A,N/A,N/A,N/A,N/A,0.0
184,2018NJ,2018,NJ,N/A,0.3333333333333333,0.0,N/A,N/A,0.0
185,2018NM,2018,NM,N/A,1.0,0.07142857142857142,N/A,N/A,0.0
186,2018NV,2018,NV,0.0,0.0,0.0,N/A,N/A,0.0
187,2018NY,2018,NY,N/A,0.0,0.0,N/A,N/A,0.0
188,2018OH,2018,OH,N/A,0.0,0.0,N/A,N/A,0.15
189,2018OK,2018,OK,0.0,0.0,1.0,0.0,N/A,0.13043478260869565
190,2018OR,2018,OR,N/A,0.0,0.0,N/A,N/A,0.07692307692307693
191,2018PA,2018,PA,N/A,0.2222222222222222,0.25,N/A,N/A,0.0
192,2018RI,2018,RI,N/A,0.0,N/A,N/A,N/A,N/A
193,2018SC,2018,SC,0.0,0.0,N/A,N/A,N/A,0.0
