,key,year,state_abbr,state,total_case,unarmed_case
141,2017RI,2017,RI,Rhode Island,1,0
142,2017SC,2017,SC,South Carolina,12,1
143,2017SD,2017,SD,South Dakota,3,0
144,2017TN,2017,TN,Tennessee,24,1
145,2017TX,2017,TX,Texas,60,5
146,2017UT,2017,UT,Utah,7,0
147,2017VA,2017,VA,Virginia,22,1
148,2017VT,2017,VT,Vermont,1,0
149,2017WA,2017,WA,Washington,30,0
150,2017WI,2017,WI,Wisconsin,24,2
151,2017WV,2017,WV,West Virginia,9,0
152,2017WY,2017,WY,Wyoming,1,0
153,2018AK,2018,AK,Alaska,7,1
154,2018AL,2018,AL,Alabama,12,0
155,2018AR,2018,AR,Arkansas,21,0
156,2018AZ,2018,AZ,Arizona,49,4
157,2018CA,2018,CA,California,96,3
158,2018CO,2018,CO,Colorado,36,2
159,2018CT,2018,CT,Connecticut,1,0
160,2018DC,2018,DC,District of Columbia,1,0
161,2018DE,2018,DE,Delaware,0,0
162,2018FL,2018,FL,Florida,62,8
163,2018GA,2018,GA,Georgia,39,2
164,2018HI,2018,HI,Hawaii,10,0
165,2018IA,2018,IA,Iowa,9,0
166,2018ID,2018,ID,Idaho,12,1
167,2018IL,2018,IL,Illinois,19,1
168,2018IN,2018,IN,Indiana,18,0
169,2018KS,2018,KS,Kansas,6,0
170,2018KY,2018,KY,Kentucky,19,0
171,2018LA,2018,LA,Louisiana,14,2
172,2018MA,2018,MA,Massachusetts,3,1
173,2018MD,2018,MD,Maryland,12,1
174,2018ME,2018,ME,Maine,2,0
175,2018MI,2018,MI,Michigan,17,1
176,2018MN,2018,MN,Minnesota,12,0
177,2018MO,2018,MO,Missouri,20,0
178,2018MS,2018,MS,Mississippi,9,1
179,2018MT,2018,MT,Montana,5,0
180,2018NC,2018,NC,North Carolina,25,0
181,2018ND,2018,ND,North Dakota,4,1
182,2018NE,2018,NE,Nebraska,1,0
183,2018NH,2018,NH,New Hampshire,2,0
184,2018NJ,2018,NJ,New Jersey,12,2
185,2018NM,2018,NM,New Mexico,19,2
186,2018NV,2018,NV,Nevada,19,0
187,2018NY,2018,NY,New York,14,0
188,2018OH,2018,OH,Ohio,29,3
189,2018OK,2018,OK,Oklahoma,32,4
190,2018OR,2018,OR,Oregon,16,1
191,2018PA,2018,PA,Pennsylvania,21,3
192,2018RI,2018,RI,Rhode Island,1,0
193,2018SC,2018,SC,South Carolina,12,0
194,2018SD,2018,SD,South Dakota,1,0
195,2018TN,2018,TN,Tennessee,25,0
196,2018TX,2018,TX,Texas,70,7
197,2018UT,2018,UT,Utah,18,1
198,2018VA,2018,VA,Virginia,18,3
199,2018VT,2018,VT,Vermont,2,0
200,2018WA,2018,WA,Washington,16,1
201,2018WI,2018,WI,Wisconsin,10,0
202,2018WV,2018,WV,West Virginia,6,0
203,2018WY,2018,WY,Wyoming,4,1
204,2019AK,2019,AK,Alaska,6,0
205,2019AL,2019,AL,Alabama,11,0
206,2019AR,2019,AR,Arkansas,17,1
207,2019AZ,2019,AZ,Arizona,31,3
208,2019CA,2019,CA,California,111,9
209,2019CO,2019,CO,Colorado,32,2
210,2019CT,2019,CT,Connecticut,4,1
211,2019DC,2019,DC,District of Columbia,1,0
212,2019DE,2019,DE,Delaware,0,0
213,2019FL,2019,FL,Florida,57,0
214,2019GA,2019,GA,Georgia,29,3
215,2019HI,2019,HI,Hawaii,7,2
216,2019IA,2019,IA,Iowa,5,0
217,2019ID,2019,ID,Idaho,6,0
218,2019IL,2019,IL,Illinois,10,0
219,2019IN,2019,IN,Indiana,14,0
220,2019KS,2019,KS,Kansas,9,0
221,2019KY,2019,KY,Kentucky,12,0
222,2019LA,2019,LA,Louisiana,19,3
223,2019MA,2019,MA,Massachusetts,3,0
224,2019MD,2019,MD,Maryland,18,1
225,2019ME,2019,ME,Maine,3,0
226,2019MI,2019,MI,Michigan,11,2
227,2019MN,2019,MN,Minnesota,10,1
228,2019MO,2019,MO,Missouri,24,2
229,2019MS,2019,MS,Mississippi,16,0
230,2019MT,2019,MT,Montana,6,0
231,2019NC,2019,NC,North Carolina,31,1
232,2019ND,2019,ND,North Dakota,0,0
233,2019NE,2019,NE,Nebraska,6,0
234,2019NH,2019,NH,New Hampshire,2,0
235,2019NJ,2019,NJ,New Jersey,10,1
236,2019NM,2019,NM,New Mexico,12,0
237,2019NV,2019,NV,Nevada,9,1
238,2019NY,2019,NY,New York,18,1
239,2019OH,2019,OH,Ohio,23,1
240,2019OK,2019,OK,Oklahoma,32,2
241,2019OR,2019,OR,Oregon,16,1
242,2019PA,2019,PA,Pennsylvania,12,0
243,2019RI,2019,RI,Rhode Island,0,0
244,2019SC,2019,SC,South Carolina,14,0
245,2019SD,2019,SD,South Dakota,3,0
246,2019TN,2019,TN,Tennessee,29,1
247,2019TX,2019,TX,Texas,87,10
248,2019UT,2019,UT,Utah,11,1
249,2019VA,2019,VA,Virginia,9,0
250,2019VT,2019,VT,Vermont,2,0
251,2019WA,2019,WA,Washington,30,3
252,2019WI,2019,WI,Wisconsin,17,1
253,2019WV,2019,WV,West Virginia,12,1
254,2019WY,2019,WY,Wyoming,1,0
