manner_of_death,armed,age,gender,race,city,state,flee,body_camera,arms_category,year
shot,unknown,54,M,Black,Orangeburg,SC,Other,FALSE,Unknown,2019
shot,gun,35,M,White,Wolfe County,KY,Not fleeing,FALSE,Guns,2019
shot,gun,33,M,White,Omaha,NE,Not fleeing,FALSE,Guns,2019
shot,unarmed,18,M,Hispanic,Los Angeles,CA,Not fleeing,FALSE,Unarmed,2019
shot,vehicle,50,M,White,Tulsa,OK,Car,FALSE,Vehicles,2019
shot,gun,41,M,Hispanic,Yucca Valley,CA,Not fleeing,FALSE,Guns,2019
shot,gun,37,M,Black,Pueblo,CO,Car,FALSE,Guns,2019
shot,gun,76,M,White,Smyrna,TN,Not fleeing,FALSE,Guns,2019
shot,gun,19,M,White,Pearl,MS,Not fleeing,FALSE,Guns,2019
shot,gun,40,M,White,Bacliff,TX,Not fleeing,FALSE,Guns,2019
shot,gun,61,M,White,Denton County,TX,Other,FALSE,Guns,2019
shot,gun,61,M,White,Lantana,TX,Not fleeing,TRUE,Guns,2019
shot,gun,22,M,Hispanic,Denver,CO,Not fleeing,FALSE,Guns,2019
shot,gun,52,M,White,Pontotoc County,MS,Car,FALSE,Guns,2019
shot,knife,23,M,Asian,Athens,GA,Not fleeing,TRUE,Sharp objects,2019
shot,knife,67,M,Black,Port St. Lucie,FL,Not fleeing,FALSE,Sharp objects,2019
shot,ax,44,M,White,Bagley Township,MI,Other,FALSE,Blunt instruments,2019
shot,gun,23,M,Other,Eagan,MN,Foot,TRUE,Guns,2019
shot,gun,39,M,Black,Elyria,OH,Car,FALSE,Guns,2019
shot,hammer,53,M,White,Salem,IN,Not fleeing,FALSE,Blunt instruments,2019
shot,screwdriver,39,M,Native,Poulsbo,WA,Not fleeing,FALSE,Piercing objects,2019
shot,knife,26,M,White,West Des Moines,IA,Not fleeing,FALSE,Sharp objects,2019
shot,toy weapon,38,F,Hispanic,El Paso,TX,Not fleeing,FALSE,Other unusual objects,2019
shot,unarmed,49,M,Asian,Chino,CA,Not fleeing,TRUE,Unarmed,2019
shot,gun,34,M,Hispanic,Lakewood,CO,Foot,FALSE,Guns,2019
shot and Tasered,piece of wood,47,M,Hispanic,Roswell,GA,Not fleeing,FALSE,Other unusual objects,2019
shot,scissors,34,M,Hispanic,West Jordan,UT,Foot,FALSE,Sharp objects,2019
shot,gun,58,M,White,Mountain Grove,MO,Not fleeing,FALSE,Guns,2019
shot,toy weapon,17,F,White,Anaheim,CA,Not fleeing,TRUE,Other unusual objects,2019
shot,unarmed,21,M,White,Oak View,CA,Not fleeing,FALSE,Unarmed,2019
shot,knife,37,M,Hispanic,Ruskin,FL,Not fleeing,FALSE,Sharp objects,2019
shot,gun,43,M,Black,Rosedale,MD,Other,FALSE,Guns,2019
shot,knife,61,M,White,Jacksonville,AR,Not fleeing,FALSE,Sharp objects,2019
shot,gun,28,M,Black,Pensacola,FL,Car,FALSE,Guns,2019
shot,gun,41,M,White,Timberville,VA,Not fleeing,FALSE,Guns,2019
shot,gun,23,M,White,Brooklyn,OH,Not fleeing,FALSE,Guns,2019
shot,unknown,36,M,Hispanic,Bakersfield,CA,Not fleeing,FALSE,Unknown,2019
shot,gun,23,M,Black,Greenville,NC,Not fleeing,FALSE,Guns,2019
shot,gun,26,M,White,Citrus Heights,CA,Other,FALSE,Guns,2019
shot,knife,32,M,Black,Adelanto,CA,Foot,FALSE,Sharp objects,2019
shot,gun,62,M,White,Kansas City,KS,Not fleeing,FALSE,Guns,2019
shot,knife,33,M,Hispanic,Jacksonville,FL,Not fleeing,FALSE,Sharp objects,2019
shot,knife,32,M,White,Arpin,WI,Not fleeing,FALSE,Sharp objects,2019
shot,gun,69,M,White,Tacoma,WA,Not fleeing,FALSE,Guns,2019
shot,unarmed,35,M,Hispanic,Kirkland,WA,Not fleeing,FALSE,Unarmed,2019
shot,gun,46,M,White,Coleman,FL,Not fleeing,FALSE,Guns,2019
