manner_of_death,armed,age,gender,race,city,state,flee,body_camera,arms_category,year
shot,knife,35,M,White,Oklahoma City,OK,Not fleeing,FALSE,Sharp objects,2018
shot,knife,47,F,Black,Darlington County,SC,Not fleeing,FALSE,Sharp objects,2018
shot,gun,37.1179309,M,White,Natomas,CA,Not fleeing,FALSE,Guns,2018
shot,gun,31,F,Black,Hopewell,VA,Foot,FALSE,Guns,2018
shot,gun,24,M,White,Terre Haute,IN,Car,FALSE,Guns,2018
shot,unarmed,27,M,Black,Franklin Township,PA,Car,FALSE,Unarmed,2018
shot,gun,27,M,White,Union City,PA,Other,FALSE,Guns,2018
shot,Taser,23,M,White,Toledo,OH,Not fleeing,FALSE,Electrical devices,2018
shot,gun,57,M,Hispanic,Azusa,CA,Not fleeing,FALSE,Guns,2018
shot,knife,56,M,White,Springfield,FL,Not fleeing,FALSE,Sharp objects,2018
shot,gun,36,M,Hispanic,Albuquerque,NM,Not fleeing,FALSE,Guns,2018
shot,gun,37.1179309,M,Other,Wailuku,HI,Car,TRUE,Guns,2018
shot,gun,37.1179309,M,Hispanic,Albuquerque,NM,Not fleeing,FALSE,Guns,2018
